Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
FEDEX EXPRESS AUSTRALIA PTY LTD,51 624 271 487,"37,575","13,173","599,350",-
FITNESS AND LIFESTYLE GROUP TOPCO PTY LTD,50 614 113 192,"4,663","59,299","349,259",-
FITZROY (CQ) PTY LTD,61 103 902 389,"415,792","61,853","565,638",-
FLETCHER BUILDING (AUSTRALIA) PTY LTD,11 093 539 452,"71,111","267,472","3,469,600",-
FMR INVESTMENTS PTY LTD,009 411 349,"49,169","22,550","828,695",-
FOOD INVESTMENTS PTY. LIMITED,85 008 426 177,"85,103","134,002","2,102,003",-
FORESTRY CORPORATION OF NEW SOUTH WALES,43 141 857 613,"82,785","1,183","1,181,198",-
FORTESCUE METALS GROUP LTD,57 002 594 872,"1,699,122","157,220","26,198,696",-
FOXLEIGH MANAGEMENT PTY LTD,27 089 726 492,"225,384","15,656","2,116,387",-
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27 136 262 952,"1,487","68,103","332,164",-
FUJITSU AUSTRALIA LTD,19 001 011 427,926,"135,192","596,307",-
FULTON HOGAN AUSTRALIA PTY LTD,42 135 849 115,"107,160","25,656","1,798,028",-
GASCOYNE RESOURCES LIMITED,57 139 522 900,"74,004",16,"1,197,870",-
GLADSTONE PORTS CORPORATION LIMITED,96 263 788 242,"32,441","61,862","916,467",-
GLENCORE HOLDINGS PTY LIMITED,41 104 160 689,"5,950,621","1,698,837","53,051,991",-
GLOBAL SWITCH AUSTRALIA PTY LIMITED,65 094 338 333,118,"144,108","634,361",-
GOLD FIELDS AUSTRALIA PTY LIMITED,91 098 385 285,"240,012","129,342","4,702,336",-
GOLDFIELDS POWER PTY LTD,81 062 186 243,"99,889",0,"1,362,742",-
GOULBURN VALLEY REGION WATER CORPORATION,84 578 076 056,"40,985","23,470","122,297",-
GPT MANAGEMENT HOLDINGS LIMITED,67 113 510 188,"8,741","103,104","548,453",-
GRAINCORP LIMITED,60 057 186 035,"75,371","90,536","1,696,982",-
GRANGE RESOURCES LIMITED,80 009 132 405,"187,099","35,791","3,676,621",-
GRIFFITH UNIVERSITY,78 106 094 461,"1,033","52,776","254,170",-
GRINDING MEDIA PTY LTD,47 615 611 759,"58,109","148,782","1,682,587",-
GWI HOLDINGS NO.2 PTY LTD,53 132 989 998,"141,739","2,074","2,038,091",-
HANCOCK PROSPECTING PTY LIMITED,69 008 676 417,"547,206","242,461","9,218,939",-
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,48 090 994 657,"352,814","75,289","3,963,659",-
HARVEY NORMAN HOLDINGS LTD,54 003 237 545,"6,110","116,017","600,788",-
HEALTHSCOPE LIMITED,65 144 840 639,"15,768","95,909","724,026",-
HILLGROVE RESOURCES LIMITED,73 004 297 116,"29,170","22,884","690,370",-
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD,46 122 401 405,"181,282","65,970","2,869,308",-
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED,95 003 621 216,"9,528","49,600","396,608",-
HUME CITY COUNCIL,14 854 354 856,"47,400","17,540","177,750",-
HYDRO-ELECTRIC CORPORATION,48 072 377 158,"225,254","18,969","3,348,216",-
ICON WATER LIMITED,86 069 381 960,"68,058","158,232","933,560",-
ICPF HOLDINGS LIMITED,20 610 989 805,"4,911","54,754","289,142",-
IDEMITSU AUSTRALIA RESOURCES PTY LTD,45 010 236 272,"322,699","88,063","4,171,930",-
ILUKA RESOURCES LIMITED,34 008 675 018,"324,429","46,962","5,182,856",-
INCITEC PIVOT LIMITED,42 004 080 264,"1,711,015","155,095","27,622,460",-
INDEPENDENCE GROUP NL,46 092 786 304,"73,962",130,"1,063,533",-
INGHAMS GROUP LIMITED,39 162 709 506,"55,491","177,756","1,779,796",-
INPEX HOLDINGS AUSTRALIA PTY LTD,61 150 217 315,"6,233,984","4,536","84,760,431",-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,70 105 041 209,"1,252,413","25,469","13,611,518",-
ISPT PTY LTD,28 064 041 283,"8,136","61,739","334,441",-
IX INFRASTRUCTURE PTY LTD,78 629 750 401,"10,558","155,207","1,005,082",-
J.J. RICHARDS & SONS PTY LTD,40 000 805 425,"85,616","5,894","1,249,742",-
JB HI-FI LIMITED,80 093 220 136,295,"64,108","274,666",-
JELLINBAH GROUP PTY LTD,54 010 754 793,"254,477","7,905","2,187,048",-
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97 009 377 619,"99,978","257,976","2,873,095",-
KARARA MINING LIMITED,68 070 871 831,"94,536","398,599","3,421,367",-
KEOLIS AUSTRALIA PTY LTD,68 132 482 850,"74,078","109,532","1,481,507",-
KESTREL COAL GROUP PTY LTD,70 624 655 518,"373,850","120,345","701,749",-
KILCOY INDUSTRIES AUSTRALIA PTY LTD,16 125 927 308,"38,043","25,792","452,982",-
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED,59 095 905 294,"110,701","32,214","2,279,580",-
KINETIC TCO PTY LTD,20 601 251 067,"56,623","1,224","813,098",-
KNAUF AUSTRALIA PTY LIMITED,86 003 621 181,"44,798","16,504","930,765",-
LA TROBE UNIVERSITY,64 804 735 113,"14,129","43,713","423,007",-
LACTALIS AUSTRALIA PTY LTD,56 072 928 879,"34,357","97,422","1,069,785",-
LAING O'ROURKE AUSTRALIA PTY LTD,71 111 023 431,"62,277","3,200","917,601",-
LANCO RESOURCES AUSTRALIA PTY LTD,30 147 835 452,"67,460","6,304","919,691",-
LENDLEASE CORPORATION LIMITED,32 000 226 228,"93,142","148,815","2,020,435",-
LIBERTY HOLDINGS AUSTRALIA LTD,16 627 011 938,"270,455","858,523","7,499,688",-
LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,29 631 112 573,"3,824,173","277,308","33,107,741",-
LINDSAY AUSTRALIA LIMITED,81 061 642 733,"111,536","9,194","1,626,237",-
LINFOX PROPRIETARY LIMITED,59 004 667 298,"182,221","35,387","2,753,271",-
LION PTY LTD,50 128 004 268,"72,792","163,716","2,055,498",-
LITTLE COMPANY OF MARY HEALTH CARE LIMITED,11 079 815 697,"101,111","30,748","1,666,570",-
LOCHARD ENERGY (IONA OPERATIONS HOLDING) PTY LTD,23 608 441 041,"64,838","4,289","1,147,778",-
LOY YANG HOLDINGS PTY LTD,60 057 361 805,"444,053",0,"4,913,662",-
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD,74 066 270 237,3,"70,996","207,114",-
MACH AUSTRALIA HOLDINGS PTY LTD,66 608 494 828,"185,921","2,124","623,350",-
 VCB,12 057 463 671,"130,550","7,316","17,081,090",-
MAINFREIGHT DISTRIBUTION PTY LIMITED,85 003 840 319,"57,335","6,319","842,564",-
MANILDRA MILLING PTY LTD,73 002 724 021,"304,262","287,440","6,464,672",-
MARS WRIGLEY AUSTRALIA HOLDINGS PTY LTD,68 133 509 930,"27,110","72,408","787,987",-
MATER MISERICORDIAE LTD,83 096 708 922,"12,587","42,727","354,746",-
MCCAIN FOODS (AUST) PTY LTD,96 000 629 587,"26,867","64,899","1,163,432",-
MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,347,"86,036","376,174",-
MELBOURNE WATER CORPORATION,81 945 386 953,"204,480","226,973","1,497,911",-
METALS X LIMITED,25 110 150 055,"65,853",65,"1,229,100",-
METCASH LIMITED,32 112 073 480,"14,110","71,132","446,028",-
METRO TRAINS MELBOURNE PTY. LTD.,43 136 429 948,"6,135","499,744","1,777,515",-
MILLENNIUM MINERALS LIMITED,85 003 257 556,"56,392",51,"806,701",-
MINDARIE REGIONAL COUNCIL,17 015 003 687,"62,790",0,"11,739",-
MINERAL RESOURCES LIMITED,33 118 549 910,"218,290","2,371","3,323,734",-
