2016,1, 
2020,34,Spain,46.03
2020,35,Belgium,45.73
2020,36,South Africa,45.67
2020,37,New Zealand,45.67
2020,38,Austria,44.74
2020,39,Indonesia,44.65
2020,40,Belarus,44.18
2020,41,Ireland,44.04
2020,42,Argentina,43.77
2020,43,Czech Republic,42.93
2020,44,Slovenia,41.91
2020,45,Cyprus,41.66
2020,46,Algeria,41.45
2020,47,Hungary,41.17
2020,48,Turkey,40.76
2020,49,Bulgaria,40.12
2020,50,Poland,39.98
2020,51,Japan,39.03
2020,52,Russian Federation,37.85
2020,53,Malaysia,34.21
2020,54,Kazakhstan,33.39
2020,55,Canada,31.01
2020,56,Australia,30.75
2020,57,Islamic Republic of Iran,28.41
2020,58,Korea,26.75
2020,59,Chinese Taipei,23.33
2020,60,Saudi Arabia,22.03
2020,61,United States,18.60
2021,1
2021,2, 
2021,3, 
2021,4,Sweden,74.42
2021,5,United Kingdom,69.66
2021,6,Denmark,69.42
2021,7,Morocco,67.59
2021,8,Norway,65.45
2021,9,Chile,64.05
2021,10,India,63.98
2021,11,Finland,62.63
2021,12,Malta,62.21
2021,13,Latvia,61.88
2021,14,Switzerland,60.85
2021,15,Lithuania,58.03
2021,16,European Union,57.29
2021,17,Portugal,56.80
2021,18,Croatia,56.69
2021,19,Germany,56.39
2021,20,Ukraine,55.48
2021,21,Luxembourg,55.23
2021,22,Egypt,54.33
2021,23,France,53.72
2021,24,Indonesia,53.59
2021,25,Brazil,53.26
2021,26,Thailand,53.18
2021,27,Italy,53.05
2021,28,New Zealand,51.30
2021,29,Netherlands,50.96
2021,30,Romania,50.33
2021,31,Slovak Republic,49.51
2021,32,Mexico,48.76
2021,33,China,48.18
2021,34,Greece,48.11
2021,35,Austria,48.09
2021,36,Belarus,47.27
2021,37,South Africa,46.13
2021,38,Estonia,46.01
2021,39,Ireland,45.47
2021,40,Belgium,45.11
2021,41,Spain,45.02
2021,42,Turkey,43.47
2021,43,Algeria,43.27
2021,44,Bulgaria,42.64
2021,45,Japan,42.49
2021,46,Argentina,40.48
2021,47,Czech Republic,38.98
2021,48,Poland,38.94
2021,49,Cyprus,38.73
2021,50,Hungary,38.22
2021,51,Slovenia,37.02
2021,52,Russian Federation,30.34
2021,53,Korea,29.76
2021,54,Australia,28.82
2021,55,Kazakhstan,28.04
2021,56,Malaysia,27.76
2021,57,Chinese Taipei,27.11
2021,58,Canada,24.82
2021,59,Islamic Republic of Iran,24.58
2021,60,Saudi Arabia,22.46
2021,61,United States,19.75
2009,1,– –
2009,2,– –
2009,3,– –
